date	sha	scenario	score	raw_total	turns	error_turns	refusals	near_dup_rate	avg_ttfb_ms	p95_total_ms
2026-07-13	c5a3163	s1-midnight-meeting	105.83333333333334	86	24	0	0	0.08	36774	105669
2026-07-13	c5a3163	s6-rinka-lab	103	83	25	0	0	0.2	39056	103970
2026-07-13	c5a3163	s7-saya-rain	95	75	25	0	0	0.08	35672	91510
2026-07-13	046d4ec	s1-midnight-meeting	105.83333333333334	86	24	0	0	0.125	34736	100243
2026-07-13	046d4ec	s6-rinka-lab	51	71	25	0	0	0.2	49154	127401
2026-07-13	046d4ec	s7-saya-rain	106	86	25	0	0	0.16	40719	109419
2026-07-13	a2e035d	s1-midnight-meeting	110.625	91	24	0	0	0.083	49967	259992
2026-07-13	a2e035d	s6-rinka-lab	99	79	25	0	0	0.16	61997	181677
2026-07-13	a2e035d	s7-saya-rain	102	82	25	0	0	0.04	44127	132111
2026-07-16	ff9e502	s1-midnight-meeting	102.70833333333334	83	24	0	0	0.083	42274	110402
2026-07-16	ff9e502	s6-rinka-lab	102	82	25	0	0	0.16	47455	110873
2026-07-16	ff9e502	s7-saya-rain	92	72	25	0	0	0.12	55198	172427
2026-07-20	50347ec	s1-midnight-meeting	109.79166666666666	90	24	0	0	0.083	30985	122939
2026-07-20	50347ec	s6-rinka-lab	104	84	25	0	0	0.28	72504	241266
2026-07-20	50347ec	s7-saya-rain	63	83	25	0	0	0.24	38724	101813
2026-07-23	90050a3	s1-midnight-meeting	95.21739130434783	75	23	1	0	0	27639	118344
2026-07-23	90050a3	s6-rinka-lab	107	87	25	0	0	0.04	55443	216793
2026-07-23	90050a3	s7-saya-rain	95	75	25	0	0	0.04	47231	147266
2026-07-27	e7ef2b0	s1-midnight-meeting	110.83333333333334	91	24	0	0	0	2911	11743
2026-07-27	e7ef2b0	s6-rinka-lab	103	83	25	0	0	0	2713	18583
2026-07-27	e7ef2b0	s7-saya-rain	107	87	25	0	0	0	3445	31940
2026-07-30	d8da4d3	s1-midnight-meeting	109.79166666666666	90	24	0	0	0	2104	14340
2026-07-30	d8da4d3	s6-rinka-lab	98	78	25	0	0	0	2241	28964
2026-07-30	d8da4d3	s7-saya-rain	92	72	25	0	0	0	2829	21065
2026-08-03	fdf56bd	s1-midnight-meeting	109.79166666666666	90	24	0	0	0	2554	24074
2026-08-03	fdf56bd	s6-rinka-lab	56	76	25	0	0	0.04	3156	47974
2026-08-03	fdf56bd	s7-saya-rain	101	81	25	0	0	0.04	3295	76557
